date, pm25, pm10, o3, no2, so2, co
2024-06-15,153, , , , , 
2024-06-14,76,54,30,5, ,5
2024-06-13,118,38,65,2, ,4
2024-06-12,91,70,110,7,1,6
2024-06-11,105,50,125,11,1,3
2024-06-10,143,47,108,9, ,5
2024-06-09,127,59,95,8, ,7
2024-06-08,90,54,81,9, ,6
2024-06-07,80,42,101,10, ,4
2024-06-06,132,53,42,9,1,3
2024-06-05,122,61,97,17,1,4
2024-06-04,101,52,81,16,1,5
2024-06-03,95,46,101,15,1,5
2024-06-02,89,43,89,18, ,5
2024-06-01,59,42,66,16,1,5
2024-05-31,23,34,53,14, ,1
2024-05-30,71,15,40,8, ,1
2024-05-29,91,49,72,15,1,2
2024-05-28,111,55,98,9,1,2
2024-05-27,66,48,86,19, ,3
2024-05-26,52,33,44,18, ,2
2024-05-25,63,19,36,9, ,3
2024-05-24,55,19,24,9,1,4
2024-05-23,106,23,25,8, ,4
2024-05-22,72,54,54,6, ,4
2024-05-20,69,19,61,14, ,2
2024-05-19,117,27,63,9, ,3
2024-05-18,160,40,42,6, ,7
2024-05-17,106,62,61,11,1,7
2024-05-16,81,60,87,19,1,4
2024-05-15,41,51,76,9,1,3
2024-05-14,84,30,45,5, ,1
2024-05-13,82,60,42,9, ,2
2024-05-12,54,57,76,10,1,2
2024-05-11,122,38,43,13, ,1
2024-05-10,123,203,38,7, ,1
2024-05-09,109,111,61,15,1,3
2024-05-08,114,61,84,9,3,3
2024-05-07,102,59,75,15,1,3
2024-05-06,125,50,58,18,1,2
2024-05-05,116,64,57,14, ,3
2024-05-04,129,37,47,9, ,3
2024-05-03,94,47,36,21, ,4
2024-05-02,89,47,75,11,1,3
2024-05-01,60,47,72,8,1,2
2024-04-30,55,38,46,11, ,1
2024-04-29,83,28,37,9, ,1
2024-04-28,55,27,19,8, ,1
2024-04-27,142,27,29,7,1,2
2024-04-26,155,53,43,10,1,8
2024-04-25,157,80,80,15,1,5
2024-04-24,83,86,72,17,1,4
2024-04-23,51,46,54,14,1,2
2024-04-22,159,16,29,5,1,3
2024-04-21,148,65,76,13,1,6
2024-04-20,65,65,68,16,1,6
2024-04-19,70,42,43,15, ,2
2024-04-18,146,67,30,11,1,4
2024-04-17,127,83,82,20,1,5
2024-04-16,54,81,75,22,1,3
2024-04-15,109,52,41,14, ,1
2024-04-14,120,138,34,8, ,4
2024-04-13,146,41,23,11, ,3
2024-04-12,139,56,60,12, ,4
2024-04-11,168,57,56,11,1,4
2024-04-10,108,96,72,18,1,5
2024-04-09,73,49,16,21,1,3
2024-04-08,97,45,28,12, ,3
2024-04-07,102,98,33,16,1,3
2024-04-06,150,56,37,15, ,3
2024-04-05,119,74,55,14,1,4
2024-04-04,107,55,52,13,1,5
2024-04-03,110,57,34,15,2,4
2024-04-02,122,59,39,16,1,3
2024-04-01,111,68,44,13,2,5
2024-03-31,129,66,38,9,2,6
2024-03-30,67,77,39,16,3,8
2024-03-29,89,61,38,10,1,2
2024-03-28,120,123,36,10, ,1
2024-03-27,175,336,36,9, ,4
2024-03-26,159,72,7,19, ,8
2024-03-25,145, ,30,14, ,5
2024-03-24,137, ,33,12, ,5
2024-03-23,154,71,29,9,1,8
2024-03-22,119,73,39,20,3,7
2024-03-21,139,56,39,14, ,5
2024-03-20,50,77,34,22,2,4
2024-03-19,55,49,32,12, ,2
2024-03-18,133,102,30,4, ,1
2024-03-17,46,131,31,14,1,2
2024-03-16,147,46,36,5, ,2
2024-03-15,163,146,37,11,1,8
2024-03-14,151,73,58,12,2,4
2024-03-13,132,67,52,23,2,4
2024-03-12,136,59,36,15,1,3
2024-03-11,149,69,42,14,2,5
2024-03-10,170,76,38,21,2,6
2024-03-09,129,82,34,24,2,5
2024-03-08,34,63,36,21,2,3
2024-03-07,114,22,29,9, ,1
2024-03-06,102,47,29,14, ,5
2024-03-05,138,39,32,15, ,3
2024-03-04,128,53,20,13,1,6
2024-03-03,118,59,27,15,1,8
2024-03-02,127,64,30,15,1,9
2024-03-01,39,87,29,14,1,3
2024-02-29,71,32,27,9, ,1
2024-02-28,135,40,31,9, ,5
2024-02-27,114,68,27,21,1,6
2024-02-26,135,62,28,19,1,4
2024-02-25,95,59,27,14,2,6
2024-02-24,130,50,27,13,1,3
2024-02-23,85,51,29,13,1,4
2024-02-22,27,42,24,18,1,5
2024-02-21,38,27,29,7,1,1
2024-02-20,39,17,24,5, ,2
2024-02-19,26,35,22,4,1,3
2024-02-18,140,35,29,2, ,1
2024-02-17,156,40,27,11,1,10
2024-02-16,125,66,29,13,1,5
2024-02-15,36,56,29,10,1,6
2024-02-14,156,21,31,5, ,2
2024-02-13,217,92,30,13,2,10
2024-02-12,201,120,47,18,2,10
2024-02-11,166,109,41,15,1,8
2024-02-10,74,77,34,9,1,4
